service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"PYRENEES_ATLANTIQUES:Timetable:9395",1,1,1,1,1,0,0,20241007,20241214
"PYRENEES_ATLANTIQUES:Timetable:4061",0,0,0,0,1,0,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:9295",0,0,0,0,0,1,1,20241007,20241214
"PYRENEES_ATLANTIQUES:Timetable:4162",1,1,1,1,1,1,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:4161",1,1,1,1,0,0,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:9193",1,1,1,1,1,1,1,20241007,20241214
"PYRENEES_ATLANTIQUES:Timetable:9092",1,1,1,1,1,1,1,20241222,20250309
"PYRENEES_ATLANTIQUES:Timetable:4955",1,1,1,1,1,1,0,20241007,20250831
"PYRENEES_ATLANTIQUES:Timetable:4954",1,1,1,1,1,0,0,20241007,20250831
"PYRENEES_ATLANTIQUES:Timetable:4650",0,0,0,0,0,0,1,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:4850",1,1,0,1,1,1,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:4157",0,0,0,0,0,1,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:4376",1,1,1,1,1,0,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:4951",1,1,1,1,1,1,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:4950",1,1,1,1,1,0,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:4953",0,0,0,0,0,0,1,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:8890",1,1,1,1,1,1,1,20241007,20250831
"PYRENEES_ATLANTIQUES:Timetable:4370",1,1,1,1,1,1,0,20241007,20250705
"PYRENEES_ATLANTIQUES:Timetable:8991",0,0,0,0,0,1,0,20241007,20250831
"PYRENEES_ATLANTIQUES:Timetable:4649",1,1,1,1,1,1,0,20241020,20250504
"PYRENEES_ATLANTIQUES:Timetable:7577",0,0,0,0,0,1,0,20241007,20251009
"PYRENEES_ATLANTIQUES:Timetable:4145",1,1,1,1,1,0,0,20241007,20250705
"PYRENEES_ATLANTIQUES:Timetable:4049",0,0,0,0,1,0,0,20241007,20250705
"PYRENEES_ATLANTIQUES:Timetable:4148",0,0,1,0,0,0,0,20241007,20250705
"PYRENEES_ATLANTIQUES:Timetable:4863",1,1,1,1,1,1,0,20241020,20250831
"PYRENEES_ATLANTIQUES:Timetable:4347",1,1,1,1,1,0,0,20241020,20250504
