trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:10:00,11:10:00,"MOBIITI:Quay:73698",1,,0,0,0.0
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:13:00,11:13:00,"MOBIITI:Quay:101271",2,,0,0,747.44183
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:15:00,11:15:00,"MOBIITI:Quay:74299",3,,0,0,4833.1
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:18:00,11:18:00,"MOBIITI:Quay:101468",4,,0,0,8988.233
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:20:00,11:20:00,"MOBIITI:Quay:74293",5,,0,0,12290.754
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:23:00,11:23:00,"MOBIITI:Quay:74298",6,,0,0,14766.119
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:24:00,11:24:00,"MOBIITI:Quay:74302",7,,0,0,16892.152
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:26:00,11:26:00,"MOBIITI:Quay:74300",8,,0,0,18836.191
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:27:00,11:27:00,"MOBIITI:Quay:101473",9,,0,0,19832.973
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:29:00,11:29:00,"MOBIITI:Quay:74295",10,,0,0,22337.328
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:30:00,11:30:00,"MOBIITI:Quay:74296",11,,0,0,24788.02
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:34:00,11:34:00,"MOBIITI:Quay:74301",12,,0,0,28217.223
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:36:00,11:36:00,"MOBIITI:Quay:73642",13,,0,0,28631.453
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:41:00,11:41:00,"MOBIITI:Quay:73639",14,,0,0,33002.133
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:45:00,11:45:00,"MOBIITI:Quay:73637",15,,0,0,36875.73
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:46:00,11:46:00,"MOBIITI:Quay:73632",16,,0,0,37490.21
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:49:00,11:49:00,"MOBIITI:Quay:73633",17,,0,0,40504.68
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:52:00,11:52:00,"MOBIITI:Quay:73641",18,,0,0,43380.75
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:54:00,11:54:00,"MOBIITI:Quay:73631",19,,0,0,45443.242
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",11:56:00,11:56:00,"MOBIITI:Quay:73638",20,,0,0,46617.41
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",12:04:00,12:04:00,"MOBIITI:Quay:74292",21,,0,0,51640.613
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",12:17:00,12:17:00,"MOBIITI:Quay:73809",22,,0,0,54961.297
"PYRENEES_ATLANTIQUES:VehicleJourney:107085",12:23:00,12:23:00,"MOBIITI:Quay:73814",23,,0,0,56630.9
"PYRENEES_ATLANTIQUES:VehicleJourney:107084",13:30:00,13:30:00,"MOBIITI:Quay:73698",1,,0,0,0.0
"PYRENEES_ATLANTIQUES:VehicleJourney:107084",13:33:00,13:33:00,"MOBIITI:Quay:101271",2,,0,0,747.44183
"PYRENEES_ATLANTIQUES:VehicleJourney:107084",13:36:00,13:36:00,"MOBIITI:Quay:74299",3,,0,0,4833.1
"PYRENEES_ATLANTIQUES:VehicleJourney:107084",13:38:00,13:38:00,"MOBIITI:Quay:101468",4,,0,0,8988.233
