stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:49408",,"Médiathèque","",43.320805,-0.391855,"",,1,,,0,,
"MOBIITI:StopPlace:49529",,"Lot. de Ruchelle (2)",,43.245773,-0.290226,"",,1,,,0,,
"MOBIITI:StopPlace:49525",,"Buisson",,43.291927,-0.357830,"",,1,,,0,,
"MOBIITI:StopPlace:49646",,"Somport Ski de fond (2)",,42.796291,-0.531767,"",,1,,,0,,
"MOBIITI:StopPlace:49647",,"Douane/Bourg (2)",,42.871250,-0.554262,"",,1,,,0,,
"MOBIITI:StopPlace:62988",,"ST PALAIS - Hôpital",,43.325920,-1.025634,"",,1,,,0,,
"MOBIITI:StopPlace:49528",,"Cap vath (2)",,43.240501,-0.286618,"",,1,,,0,,
"MOBIITI:StopPlace:49649",,"Suberlaché (2)",,42.985809,-0.604492,"",,1,,,0,,
"MOBIITI:StopPlace:49644",,"Forges D'Abel (2)","",42.822342,-0.559127,"",,1,,,0,,
"MOBIITI:StopPlace:49524",,"Lacoste",,43.292686,-0.362789,"",,1,,,0,,
"MOBIITI:StopPlace:49645",,"Gare/Camping (2)","",42.881752,-0.559814,"",,1,,,0,,
"MOBIITI:StopPlace:49640",,"Somport Douane (2)","",42.795815,-0.525935,"",,1,,,0,,
"MOBIITI:StopPlace:49641",,"Parking (2)",,43.000526,-0.601087,"",,1,,,0,,
"MOBIITI:StopPlace:49080",,"LABASTIDE CEZ. - Labast Céz RD817 (2)",,43.378654,-0.536870,"",,1,,,0,,
"MOBIITI:StopPlace:49081",,"Université (2)",,43.311375,-0.364827,"",,1,,,0,,
"MOBIITI:StopPlace:49082",,"Pau euralis (2)",,43.334969,-0.456472,"",,1,,,0,,
"MOBIITI:StopPlace:49083",,"Gare SNCF","",43.393261,-0.569662,"",,1,,,2,,
"MOBIITI:StopPlace:49536",,"Quartier Justice",,43.181324,-0.252729,"",,1,,,0,,
"MOBIITI:StopPlace:49657",,"Bourg d'Asasp/poste",,43.122128,-0.613595,"",,1,,,0,,
"MOBIITI:StopPlace:49659",,"Eglise/Ecole",,42.912308,-0.570777,"",,1,,,0,,
"MOBIITI:StopPlace:49539",,"Mairie","",43.142185,-0.257310,"",,1,,,2,,
"MOBIITI:StopPlace:49532",,"Lot. les Ht. du Gave (2)",,43.198456,-0.254853,"",,1,,,0,,
