route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4951","PYRENEES_ATLANTIQUES:VehicleJourney:107085","5200_3 - Orthez - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_8F98840EB891092866934B0FF19DEA46",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4951","PYRENEES_ATLANTIQUES:VehicleJourney:107084","5200_4 - Orthez - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_8F98840EB891092866934B0FF19DEA46",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4950","PYRENEES_ATLANTIQUES:VehicleJourney:107083","5200_1 - Orthez - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_8F98840EB891092866934B0FF19DEA46",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4951","PYRENEES_ATLANTIQUES:VehicleJourney:106876","5200_5 - Orthez - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_8F98840EB891092866934B0FF19DEA46",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4950","PYRENEES_ATLANTIQUES:VehicleJourney:106875","5200_6 - Orthez - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_8F98840EB891092866934B0FF19DEA46",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4951","PYRENEES_ATLANTIQUES:VehicleJourney:106781","5200_2 - Orthez - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_8F98840EB891092866934B0FF19DEA46",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4850","PYRENEES_ATLANTIQUES:VehicleJourney:106877","5201_4 - Pau - Orthez",,1,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_5F208F68F231FA330CCAE45A7D4B8D39",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4950","PYRENEES_ATLANTIQUES:VehicleJourney:106784","5201_1 - Pau - Orthez",,1,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_5F208F68F231FA330CCAE45A7D4B8D39",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4950","PYRENEES_ATLANTIQUES:VehicleJourney:106783","5201_9 - Pau - Orthez",,1,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_5F208F68F231FA330CCAE45A7D4B8D39",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4850","PYRENEES_ATLANTIQUES:VehicleJourney:107086","5201_5 - Pau - Orthez",,1,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_5F208F68F231FA330CCAE45A7D4B8D39",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4850","PYRENEES_ATLANTIQUES:VehicleJourney:106985","5201_3 - Pau - Orthez",,1,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_5F208F68F231FA330CCAE45A7D4B8D39",0,0
"PYRENEES_ATLANTIQUES:Line:3451","PYRENEES_ATLANTIQUES:Timetable:4850","PYRENEES_ATLANTIQUES:VehicleJourney:106983","5201_11 - Pau - Orthez",,1,,"PYRENEES_ATLANTIQUES:JourneyPattern:3451_5F208F68F231FA330CCAE45A7D4B8D39",0,0
"PYRENEES_ATLANTIQUES:Line:3452","PYRENEES_ATLANTIQUES:Timetable:4162","PYRENEES_ATLANTIQUES:VehicleJourney:107092","5210_1 - Monein - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3452_AC7CCE1435D164DE40824CDC1FA04554",0,0
"PYRENEES_ATLANTIQUES:Line:3452","PYRENEES_ATLANTIQUES:Timetable:4376","PYRENEES_ATLANTIQUES:VehicleJourney:107091","5210_3 - Monein - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3452_AC7CCE1435D164DE40824CDC1FA04554",0,0
"PYRENEES_ATLANTIQUES:Line:3452","PYRENEES_ATLANTIQUES:Timetable:4162","PYRENEES_ATLANTIQUES:VehicleJourney:106989","5210_4 - Monein - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3452_AC7CCE1435D164DE40824CDC1FA04554",0,0
"PYRENEES_ATLANTIQUES:Line:3452","PYRENEES_ATLANTIQUES:Timetable:4162","PYRENEES_ATLANTIQUES:VehicleJourney:106795","5210_2 - Monein - Pau",,0,,"PYRENEES_ATLANTIQUES:JourneyPattern:3452_AC7CCE1435D164DE40824CDC1FA04554",0,0
"PYRENEES_ATLANTIQUES:Line:3452","PYRENEES_ATLANTIQUES:Timetable:4162","PYRENEES_ATLANTIQUES:VehicleJourney:107094","5211_4 - Pau - Monein",,1,,"PYRENEES_ATLANTIQUES:JourneyPattern:3452_408309E478598A95C6F9A3ACF15CC0AE",0,0
