service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
N1,0,0,0,0,0,0,1,20220109,20221218,2022-01-09 → 12-18 (35 dim)
N10,1,1,1,1,1,0,0,20220214,20221230,"2022-02-14 → 12-30 (7 lun, 7 mar, 8 mer, 8 jeu, 8 ven)"
N11,0,0,0,0,0,1,1,20220702,20220828,"2022-07-02 → 08-28 (9 sam, 9 dim)"
N12,1,1,1,1,1,0,0,20220704,20220826,"2022-07-04 → 08-26 (7 lun, 8 mar, 8 mer, 7 jeu, 8 ven)"
N13,1,1,1,1,1,1,0,20220702,20220827,"2022-07-02 → 08-27 (7 lun, 8 mar, 8 mer, 7 jeu, 8 ven, 9 sam)"
N14,1,1,1,1,1,1,1,20220702,20220828,"2022-07-02 → 08-28 (7 lun, 8 mar, 8 mer, 7 jeu, 8 ven, 9 sam, 9 dim)"
N15,1,0,0,1,0,0,0,20220714,20220815,"2022-07-14 → 08-15 (lun, jeu)"
N16,1,1,0,1,1,1,0,20220101,20221111,"2022-01-01 → 11-11 (2 lun, mar, jeu, ven, sam)"
N2,0,0,0,0,0,1,0,20220108,20221217,2022-01-08 → 12-17 (35 sam)
N3,0,0,0,0,1,0,0,20220107,20221216,2022-01-07 → 12-16 (35 ven)
N4,0,0,1,0,0,0,0,20220105,20221214,2022-01-05 → 12-14 (36 mer)
N5,1,1,0,1,0,0,0,20220103,20221215,"2022-01-03 → 12-15 (35 lun, 36 mar, 35 jeu)"
N6,1,1,0,1,1,0,0,20220103,20221216,"2022-01-03 → 12-16 (35 lun, 36 mar, 35 jeu, 35 ven)"
N7,1,1,1,1,1,0,0,20220103,20221216,"2022-01-03 → 12-16 (35 lun, 36 mar, 36 mer, 35 jeu, 35 ven)"
N8,0,0,0,0,0,0,1,20220102,20221225,2022-01-02 → 12-25 (7 dim)
N9,0,0,0,0,0,1,0,20220219,20221231,2022-02-19 → 12-31 (8 sam)
PN10,1,1,0,1,1,0,0,20210830,20211217,"2021-01-04 → 12-17 (34 lun, 35 mar, 33 jeu, 35 ven)"
PN11,1,1,0,1,1,1,0,20210830,20211218,"2021-01-04 → 12-18 (34 lun, 35 mar, 33 jeu, 35 ven, 32 sam)"
PN12,1,1,1,1,0,0,0,20210830,20211216,"2021-01-04 → 12-16 (34 lun, 35 mar, 35 mer, 33 jeu)"
PN13,1,1,1,1,1,0,0,20210830,20211217,"2021-01-04 → 12-17 (34 lun, 35 mar, 35 mer, 33 jeu, 35 ven)"
PN14,1,1,1,1,1,1,0,20210830,20211218,"2021-01-04 → 12-18 (34 lun, 35 mar, 35 mer, 33 jeu, 35 ven, 32 sam)"
PN15,1,1,1,1,1,1,1,20210830,20211219,"2021-01-04 → 12-19 (34 lun, 35 mar, 35 mer, 33 jeu, 35 ven, 32 sam, 34 dim)"
PN16,0,0,0,0,0,0,1,20211031,20211226,2021-02-14 → 2022-01-02 (9 dim)
PN17,1,1,1,1,1,0,0,20211025,20211231,"2021-02-08 → 12-31 (7 lun, 9 mar, 9 mer, 9 jeu, 9 ven)"
PN18,1,1,1,1,1,1,0,20211025,20211231,"2021-02-08 → 12-31 (7 lun, 9 mar, 9 mer, 9 jeu, 9 ven, 7 sam)"
PN19,1,1,1,1,1,1,1,20211025,20211231,"2021-02-08 → 2022-01-02 (7 lun, 9 mar, 9 mer, 9 jeu, 9 ven, 7 sam, 9 dim)"
PN20,0,0,0,0,0,1,0,20211030,20211106,2021-02-13 → 11-06 (7 sam)
PN21,1,0,0,1,0,1,0,20211101,20211225,"2021-04-05 → 2022-01-01 (3 lun, 2 jeu, 3 sam)"
PN5,0,0,0,0,0,0,1,20210905,20211219,2021-01-10 → 12-19 (34 dim)
PN6,0,0,0,0,0,1,0,20210904,20211218,2021-01-09 → 12-18 (32 sam)
PN7,0,0,0,0,1,0,0,20210903,20211217,2021-01-08 → 12-17 (35 ven)
PN8,0,0,1,0,0,0,0,20210901,20211215,2021-01-06 → 12-15 (35 mer)
PN9,0,0,1,0,0,1,0,20210901,20211218,"2021-01-06 → 12-18 (35 mer, 32 sam)"
