service_id,date,exception_type
N1,20220220,2
N1,20220227,2
N1,20220424,2
N1,20220501,2
N1,20220703,2
N1,20220710,2
N1,20220717,2
N1,20220724,2
N1,20220731,2
N1,20220807,2
N1,20220814,2
N1,20220821,2
N1,20220828,2
N1,20221030,2
N1,20221106,2
N10,20220228,2
N10,20220301,2
N10,20220302,2
N10,20220303,2
N10,20220304,2
N10,20220307,2
N10,20220308,2
N10,20220309,2
N10,20220310,2
N10,20220311,2
N10,20220314,2
N10,20220315,2
N10,20220316,2
N10,20220317,2
N10,20220318,2
N10,20220321,2
N10,20220322,2
N10,20220323,2
N10,20220324,2
N10,20220325,2
N10,20220328,2
N10,20220329,2
N10,20220330,2
N10,20220331,2
N10,20220401,2
N10,20220404,2
N10,20220405,2
N10,20220406,2
N10,20220407,2
N10,20220408,2
N10,20220411,2
N10,20220412,2
N10,20220413,2
N10,20220414,2
N10,20220415,2
N10,20220418,2
N10,20220502,2
N10,20220503,2
N10,20220504,2
N10,20220505,2
N10,20220506,2
N10,20220509,2
N10,20220510,2
N10,20220511,2
N10,20220512,2
N10,20220513,2
N10,20220516,2
N10,20220517,2
N10,20220518,2
N10,20220519,2
N10,20220520,2
N10,20220523,2
N10,20220524,2
N10,20220525,2
N10,20220526,2
N10,20220527,2
N10,20220530,2
N10,20220531,2
N10,20220601,2
N10,20220602,2
N10,20220603,2
N10,20220606,2
N10,20220607,2
N10,20220608,2
N10,20220609,2
N10,20220610,2
N10,20220613,2
N10,20220614,2
N10,20220615,2
N10,20220616,2
N10,20220617,2
N10,20220620,2
N10,20220621,2
N10,20220622,2
N10,20220623,2
N10,20220624,2
N10,20220627,2
N10,20220628,2
N10,20220629,2
N10,20220630,2
N10,20220701,2
N10,20220704,2
N10,20220705,2
N10,20220706,2
N10,20220707,2
N10,20220708,2
N10,20220711,2
N10,20220712,2
N10,20220713,2
N10,20220714,2
N10,20220715,2
N10,20220718,2
N10,20220719,2
N10,20220720,2
N10,20220721,2
N10,20220722,2
N10,20220725,2
N10,20220726,2
N10,20220727,2
N10,20220728,2
N10,20220729,2
N10,20220801,2
N10,20220802,2
N10,20220803,2
N10,20220804,2
N10,20220805,2
N10,20220808,2
N10,20220809,2
N10,20220810,2
N10,20220811,2
N10,20220812,2
N10,20220815,2
N10,20220816,2
N10,20220817,2
N10,20220818,2
N10,20220819,2
N10,20220822,2
N10,20220823,2
N10,20220824,2
N10,20220825,2
N10,20220826,2
N10,20220829,2
N10,20220830,2
N10,20220831,2
N10,20220901,2
N10,20220902,2
N10,20220905,2
N10,20220906,2
N10,20220907,2
N10,20220908,2
N10,20220909,2
N10,20220912,2
N10,20220913,2
N10,20220914,2
N10,20220915,2
N10,20220916,2
N10,20220919,2
N10,20220920,2
N10,20220921,2
N10,20220922,2
N10,20220923,2
N10,20220926,2
N10,20220927,2
N10,20220928,2
N10,20220929,2
N10,20220930,2
N10,20221003,2
N10,20221004,2
N10,20221005,2
N10,20221006,2
N10,20221007,2
N10,20221010,2
N10,20221011,2
N10,20221012,2
N10,20221013,2
N10,20221014,2
N10,20221017,2
N10,20221018,2
N10,20221019,2
N10,20221020,2
N10,20221021,2
N10,20221101,2
N10,20221107,2
N10,20221108,2
N10,20221109,2
N10,20221110,2
N10,20221111,2
N10,20221114,2
N10,20221115,2
N10,20221116,2
N10,20221117,2
N10,20221118,2
N10,20221121,2
N10,20221122,2
N10,20221123,2
