trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
N530,07:20:00,07:20:00,1520,1,,0,1,,1
N530,07:21:00,07:21:00,1522,2,,0,0,,1
N530,07:23:00,07:23:00,1524,3,,0,0,,1
N530,07:25:00,07:25:00,1526,4,,0,0,,1
N530,07:26:00,07:26:00,1528,5,,0,0,,1
N530,07:28:00,07:28:00,1530,6,,0,0,,1
N530,07:29:00,07:29:00,1532,7,,0,0,,1
N530,07:30:00,07:30:00,197,8,,0,0,,1
N530,07:31:00,07:31:00,1329,9,,0,0,,1
N530,07:35:00,07:35:00,1330,10,,0,0,,1
N530,07:38:00,07:38:00,151,11,,0,0,,1
N530,07:39:00,07:39:00,183,12,,0,0,,1
N530,07:41:00,07:41:00,154,13,,0,0,,1
N530,07:43:00,07:43:00,568,14,,0,0,,1
N530,07:45:00,07:45:00,74,15,,0,0,,1
N530,07:46:00,07:46:00,450,16,,0,0,,1
N530,07:48:00,07:48:00,1336,17,,0,0,,1
N530,07:49:00,07:49:00,83,18,,0,0,,1
N530,07:51:00,07:51:00,63,19,,0,0,,1
N530,07:52:00,07:52:00,571,20,,0,0,,1
N530,07:53:00,07:53:00,64,21,,0,0,,1
N530,07:55:00,07:55:00,190,22,,1,0,,1
N818,07:20:00,07:20:00,1520,1,,0,1,,1
N818,07:21:00,07:21:00,1522,2,,0,0,,1
N818,07:23:00,07:23:00,1524,3,,0,0,,1
N818,07:25:00,07:25:00,1526,4,,0,0,,1
N818,07:26:00,07:26:00,1528,5,,0,0,,1
N818,07:28:00,07:28:00,1530,6,,0,0,,1
N818,07:29:00,07:29:00,1532,7,,0,0,,1
N818,07:30:00,07:30:00,197,8,,0,0,,1
N818,07:31:00,07:31:00,1329,9,,0,0,,1
N818,07:35:00,07:35:00,1330,10,,0,0,,1
N818,07:38:00,07:38:00,151,11,,0,0,,1
N818,07:39:00,07:39:00,183,12,,0,0,,1
N818,07:41:00,07:41:00,154,13,,0,0,,1
N818,07:43:00,07:43:00,568,14,,0,0,,1
N818,07:45:00,07:45:00,74,15,,0,0,,1
N818,07:46:00,07:46:00,450,16,,0,0,,1
N818,07:48:00,07:48:00,1336,17,,0,0,,1
N818,07:49:00,07:49:00,83,18,,0,0,,1
N818,07:51:00,07:51:00,63,19,,0,0,,1
N818,07:52:00,07:52:00,571,20,,0,0,,1
N818,07:53:00,07:53:00,64,21,,0,0,,1
