stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,city_name
275,,Abadia,,43.37451869,-1.75196058,,,1,,0,,
266,,Agerrea,,43.37215664,-1.74717936,,,1,,0,,
1106,,Agerreberri,,43.34260980,-1.73936390,,,1,,0,,
556,,Ahetze Croisement / Ahetze Bidegurutzea,,43.41790791,-1.54880038,,,1,,0,,
209,,Aizpurdi St Vincent / Aizpurdi San Bixente,,43.35622300,-1.77440000,,,1,,0,,
308,,Akotz,.,43.41271930,-1.61783100,,,1,,0,,
1521,,Aldabe Mendia 13,.,43.33966000,-1.81071000,,,1,,0,,
1512,,Aldabidea,.,43.39506000,-1.30960000,,,1,,0,,
309,,Alturan,,43.38904000,-1.62044000,,,1,,0,,
1493,,Alturan Bi,.,43.38836716,-1.62388274,,,1,,0,,
1506,,Amespétou,.,43.33596000,-1.50753200,,,1,,0,,
726,,Andenea,,43.38988480,-1.64775280,,,1,,0,,
1323,,Arantzola,,43.42286600,-1.54835400,,,1,,0,,
361,,Artzirin,,43.35617700,-1.56125700,,,1,,0,,
1283,,Ascoubia,,43.37736000,-1.74391000,,,1,,0,,
1281,,Asporotsttipi,,43.37694030,-1.73925160,,,1,,0,,
20,,Atabala,.,43.36434000,-1.76531000,,,1,,0,,
268,,Autoport / Autoportua,,43.34683041,-1.77052561,,,1,,0,,
241,,Avenue de la Baie / Badiako Etorbidea,,43.38546300,-1.67828700,,,1,,0,,
1382,,Avenue de Navarre,.,43.35877000,-1.39872600,,,1,,0,,
310,,Axular,,43.38615500,-1.65563300,,,1,,0,,
1485,,Azkenean,.,43.34258800,-1.74561360,,,1,,0,,
722,,Aïce Errota / Haize Errota,,43.39443960,-1.65287490,,,1,,0,,
269,,Barrendegi,,43.35622700,-1.76931700,,,1,,0,,
270,,Bas Quartier / Partxetegia,,43.35896800,-1.77165800,,,1,,0,,
548,,Belcenia / Beltzenea,,43.36169167,-1.77234881,,,1,,0,,
311,,Belharra,,43.41220590,-1.61423340,,,1,,0,,
242,,Berastegia,,43.37986500,-1.67456750,,,1,,0,,
561,,Berroeta,,43.34803500,-1.68979800,,,1,,0,,
1547,,Bianténia,.,43.35863000,-1.76867000,,,1,,0,,
243,,Bibliothèque / Liburutegia,,43.38154500,-1.66474500,,,1,,0,,
1509,,Bilanoa,.,43.35626400,-1.56557700,,,1,,0,,
1360,,Bitxa Eder,.,43.35563700,-1.41453100,,,1,,0,,
244,,Bordagain,,43.38293430,-1.67597320,,,1,,0,,
1348,,Bourg,.,43.34087100,-1.47421100,,,1,,0,,
369,,Bourg / Herri Barnea (Urrugne),,43.36242700,-1.69893800,,,1,,0,,Urrugne
27,,Bourg / Herria Barne,.,43.33355700,-1.74406800,,,1,,0,,
1345,,Burdin Bidea,.,43.34681000,-1.62371000,,,1,,0,,
