service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
"+13902130[20240901-]",1,1,1,1,1,1,1,20240902,20241231,"2024-09-01 → 12-31 (18 Mo, 18 Tu, 17 We, 17 Th, 17 Fr, 17 Sa, 18 Su)"
"+13902137+20870310",1,1,1,1,1,1,0,20240902,20241231,"2022-01-03 → 2024-12-31 (145 Mo, 155 Tu, 152 We, 151 Th, 153 Fr, 155 Sa)"
"+13902137[20240901-]",1,1,1,1,1,1,0,20240902,20241231,"2024-09-02 → 12-31 (17 Mo, 18 Tu, 16 We, 17 Th, 16 Fr, 17 Sa)"
"+13902140+13902146+19173605+19173666+19450828+21002373~19450820[20240715-]",1,1,1,1,1,1,1,20240902,20241231,"2024-07-15 → 12-31 (25 Mo, 25 Tu, 23 We, 24 Th, 24 Fr, 24 Sa, 24 Su)"
"+13902140+13902146+19173605+19173666[20240901-]",1,1,1,1,1,1,0,20240902,20241231,"2024-09-02 → 12-31 (17 Mo, 18 Tu, 16 We, 17 Th, 16 Fr, 17 Sa)"
"+13902140+13902146+19173605+19173666~19450820[20240715-]",1,1,1,1,1,1,0,20240902,20241231,"2024-07-15 → 12-31 (24 Mo, 25 Tu, 23 We, 23 Th, 23 Fr, 24 Sa)"
"+13902140+19173605",1,1,1,1,1,0,0,20240902,20241231,"2022-01-03 → 2024-12-31 (145 Mo, 155 Tu, 152 We, 151 Th, 153 Fr)"
"+13902140+19173605+19450828+21002373~13902146~19450820[20240715-]",1,1,1,1,1,0,1,20240902,20241231,"2024-07-15 → 12-31 (25 Mo, 25 Tu, 23 We, 24 Th, 24 Fr, 24 Su)"
"+13902140+19173605[20230220-]",1,1,1,1,1,0,0,20240902,20241231,"2023-02-20 → 2024-12-31 (89 Mo, 97 Tu, 93 We, 94 Th, 95 Fr)"
"+13902140+19173605[20240706-]",1,1,1,1,1,0,0,20240902,20241231,"2024-07-08 → 12-31 (25 Mo, 26 Tu, 24 We, 24 Th, 24 Fr)"
"+13902140+19173605[20240715-]",1,1,1,1,1,0,0,20240902,20241231,"2024-07-15 → 12-31 (24 Mo, 25 Tu, 23 We, 23 Th, 23 Fr)"
"+13902140+19173605[20240901-]",1,1,1,1,1,0,0,20240902,20241231,"2024-09-02 → 12-31 (17 Mo, 18 Tu, 16 We, 17 Th, 16 Fr)"
"+13902140+19173605~13902146~19173666~19450820[20240715-]",1,1,1,1,1,0,0,20240902,20241231,"2024-07-15 → 12-31 (24 Mo, 25 Tu, 23 We, 23 Th, 23 Fr)"
"+13902140+19173605~13902146~19450820[20240715-]",1,1,1,1,1,0,0,20240902,20241231,"2024-07-15 → 12-31 (24 Mo, 25 Tu, 23 We, 23 Th, 23 Fr)"
"+13902140+19173605~19450820[20240715-]",1,1,1,1,1,0,0,20240902,20241231,"2024-07-15 → 12-31 (24 Mo, 25 Tu, 23 We, 23 Th, 23 Fr)"
"+13902140+23502970+23502972[20240901-]",1,1,1,1,1,0,0,20240902,20250103,"2024-09-02 → 2025-01-03 (17 Mo, 18 Tu, 16 We, 18 Th, 17 Fr)"
"+13902140[20240901-]",1,1,1,1,1,0,0,20240902,20241231,"2024-09-02 → 12-31 (17 Mo, 18 Tu, 16 We, 17 Th, 16 Fr)"
"+13902143[20240901-]",0,0,0,0,0,0,1,20240908,20241229,2024-09-01 → 12-29 (18 Su)
"+13902146+13902152+23502972[20240901-]",1,1,0,1,1,1,0,20240902,20250103,"2024-09-02 → 2025-01-03 (17 Mo, 18 Tu, 2 We, 18 Th, 17 Fr, 17 Sa)"
"+13902146+19173666+23502972[20240901-]",0,0,0,0,0,1,0,20240907,20250103,"2024-09-07 → 2025-01-03 (4 Mo, 4 Tu, 2 We, 4 Th, 3 Fr, 17 Sa)"
"+13902146+19173666[20240715-]",0,0,0,0,0,1,0,20240907,20241228,2024-07-20 → 12-28 (24 Sa)
"+13902146+19173666[20240901-]",0,0,0,0,0,1,0,20240907,20241228,2024-09-07 → 12-28 (17 Sa)
"+13902146+19173666~19450820[20240715-]",0,0,0,0,0,1,0,20240907,20241228,2024-07-20 → 12-28 (24 Sa)
"+13902152+19173605~19450820[20240715-]",1,1,0,1,1,0,0,20240902,20241220,"2024-07-15 → 12-20 (20 Mo, 21 Tu, 7 We, 20 Th, 21 Fr)"
"+13902152+23502972[20240901-]",1,1,0,1,1,0,0,20240902,20250103,"2024-09-02 → 2025-01-03 (17 Mo, 18 Tu, 2 We, 18 Th, 17 Fr)"
"+13902152[20240901-]",1,1,0,1,1,0,0,20240902,20241220,"2024-09-02 → 12-20 (13 Mo, 14 Tu, 14 Th, 14 Fr)"
"+13902157[20240901-]",0,0,1,0,0,1,0,20240904,20241218,"2024-09-04 → 12-18 (14 We, 12 Sa)"
"+13902160+23502972[20240901-]",0,0,1,0,0,0,0,20240904,20250103,"2024-09-04 → 2025-01-03 (4 Mo, 4 Tu, 16 We, 4 Th, 3 Fr)"
"+13902160[20240901-]",0,0,1,0,0,0,0,20240904,20241218,2024-09-04 → 12-18 (14 We)
