service_id,date,exception_type
"+13902137+20870310",20241101,2
"+13902137+20870310",20241111,2
"+13902137+20870310",20241225,2
"+13902137[20240901-]",20241101,2
"+13902137[20240901-]",20241111,2
"+13902137[20240901-]",20241225,2
"+13902140+13902146+19173605+19173666+19450828+21002373~19450820[20240715-]",20241225,2
"+13902140+13902146+19173605+19173666[20240901-]",20241101,2
"+13902140+13902146+19173605+19173666[20240901-]",20241111,2
"+13902140+13902146+19173605+19173666[20240901-]",20241225,2
"+13902140+13902146+19173605+19173666~19450820[20240715-]",20241101,2
"+13902140+13902146+19173605+19173666~19450820[20240715-]",20241111,2
"+13902140+13902146+19173605+19173666~19450820[20240715-]",20241225,2
"+13902140+19173605",20241101,2
"+13902140+19173605",20241111,2
"+13902140+19173605",20241225,2
"+13902140+19173605+19450828+21002373~13902146~19450820[20240715-]",20241225,2
"+13902140+19173605[20230220-]",20241101,2
"+13902140+19173605[20230220-]",20241111,2
"+13902140+19173605[20230220-]",20241225,2
"+13902140+19173605[20240706-]",20241101,2
"+13902140+19173605[20240706-]",20241111,2
"+13902140+19173605[20240706-]",20241225,2
"+13902140+19173605[20240715-]",20241101,2
"+13902140+19173605[20240715-]",20241111,2
"+13902140+19173605[20240715-]",20241225,2
"+13902140+19173605[20240901-]",20241101,2
"+13902140+19173605[20240901-]",20241111,2
"+13902140+19173605[20240901-]",20241225,2
"+13902140+19173605~13902146~19173666~19450820[20240715-]",20241101,2
"+13902140+19173605~13902146~19173666~19450820[20240715-]",20241111,2
"+13902140+19173605~13902146~19173666~19450820[20240715-]",20241225,2
"+13902140+19173605~13902146~19450820[20240715-]",20241101,2
"+13902140+19173605~13902146~19450820[20240715-]",20241111,2
"+13902140+19173605~13902146~19450820[20240715-]",20241225,2
"+13902140+19173605~19450820[20240715-]",20241101,2
"+13902140+19173605~19450820[20240715-]",20241111,2
"+13902140+19173605~19450820[20240715-]",20241225,2
"+13902140+23502970+23502972[20240901-]",20241101,2
"+13902140+23502970+23502972[20240901-]",20241111,2
"+13902140+23502970+23502972[20240901-]",20241225,2
"+13902140+23502970+23502972[20240901-]",20250101,2
"+13902140[20240901-]",20241101,2
"+13902140[20240901-]",20241111,2
"+13902140[20240901-]",20241225,2
"+13902146+13902152+23502972[20240901-]",20241023,1
"+13902146+13902152+23502972[20240901-]",20241030,1
"+13902146+13902152+23502972[20240901-]",20241101,2
"+13902146+13902152+23502972[20240901-]",20241111,2
"+13902146+19173666+23502972[20240901-]",20241021,1
"+13902146+19173666+23502972[20240901-]",20241022,1
"+13902146+19173666+23502972[20240901-]",20241023,1
"+13902146+19173666+23502972[20240901-]",20241024,1
"+13902146+19173666+23502972[20240901-]",20241025,1
"+13902146+19173666+23502972[20240901-]",20241028,1
"+13902146+19173666+23502972[20240901-]",20241029,1
"+13902146+19173666+23502972[20240901-]",20241030,1
"+13902146+19173666+23502972[20240901-]",20241031,1
"+13902146+19173666+23502972[20240901-]",20241223,1
"+13902146+19173666+23502972[20240901-]",20241224,1
"+13902146+19173666+23502972[20240901-]",20241226,1
"+13902146+19173666+23502972[20240901-]",20241227,1
"+13902146+19173666+23502972[20240901-]",20241230,1
"+13902146+19173666+23502972[20240901-]",20241231,1
"+13902146+19173666+23502972[20240901-]",20250102,1
"+13902146+19173666+23502972[20240901-]",20250103,1
"+13902152+19173605~19450820[20240715-]",20241021,2
"+13902152+19173605~19450820[20240715-]",20241022,2
"+13902152+19173605~19450820[20240715-]",20241024,2
"+13902152+19173605~19450820[20240715-]",20241025,2
"+13902152+19173605~19450820[20240715-]",20241028,2
"+13902152+19173605~19450820[20240715-]",20241029,2
"+13902152+19173605~19450820[20240715-]",20241031,2
"+13902152+19173605~19450820[20240715-]",20241101,2
"+13902152+19173605~19450820[20240715-]",20241111,2
"+13902152+23502972[20240901-]",20241023,1
"+13902152+23502972[20240901-]",20241030,1
"+13902152+23502972[20240901-]",20241101,2
"+13902152+23502972[20240901-]",20241111,2
"+13902152[20240901-]",20241021,2
"+13902152[20240901-]",20241022,2
"+13902152[20240901-]",20241024,2
"+13902152[20240901-]",20241025,2
"+13902152[20240901-]",20241028,2
"+13902152[20240901-]",20241029,2
"+13902152[20240901-]",20241031,2
"+13902152[20240901-]",20241101,2
"+13902152[20240901-]",20241111,2
"+13902157[20240901-]",20241019,2
"+13902157[20240901-]",20241023,2
"+13902157[20240901-]",20241026,2
"+13902157[20240901-]",20241030,2
"+13902157[20240901-]",20241102,2
"+13902160+23502972[20240901-]",20241021,1
"+13902160+23502972[20240901-]",20241022,1
"+13902160+23502972[20240901-]",20241024,1
"+13902160+23502972[20240901-]",20241025,1
"+13902160+23502972[20240901-]",20241028,1
"+13902160+23502972[20240901-]",20241029,1
"+13902160+23502972[20240901-]",20241031,1
"+13902160+23502972[20240901-]",20241223,1
"+13902160+23502972[20240901-]",20241224,1
"+13902160+23502972[20240901-]",20241226,1
"+13902160+23502972[20240901-]",20241227,1
"+13902160+23502972[20240901-]",20241230,1
"+13902160+23502972[20240901-]",20241231,1
"+13902160+23502972[20240901-]",20250102,1
"+13902160+23502972[20240901-]",20250103,1
"+13902160+23502972[20240901-]",20241225,2
"+13902160+23502972[20240901-]",20250101,2
"+13902160[20240901-]",20241023,2
"+13902160[20240901-]",20241030,2
"+19450828+21002373~13902140~13902146~19450820[20240715-]",20241101,1
"+19450828+21002373~13902140~13902146~19450820[20240715-]",20241111,1
"+19450828+21002373~13902146~19450820[20240715-]",20241101,1
"+19450828+21002373~13902146~19450820[20240715-]",20241111,1
"+19450828+21002373~19450820[20240715-]",20241101,1
"+19450828+21002373~19450820[20240715-]",20241111,1
"+23502970[20240715-]",20241021,2
"+23502970[20240715-]",20241022,2
"+23502970[20240715-]",20241023,2
"+23502970[20240715-]",20241024,2
"+23502970[20240715-]",20241025,2
"+23502970[20240715-]",20241028,2
"+23502970[20240715-]",20241029,2
"+23502970[20240715-]",20241030,2
"+23502970[20240715-]",20241031,2
"+23502970[20240715-]",20241101,2
"+23502970[20240715-]",20241111,2
"+23502970[20240901-]",20241021,2
"+23502970[20240901-]",20241022,2
"+23502970[20240901-]",20241023,2
"+23502970[20240901-]",20241024,2
"+23502970[20240901-]",20241025,2
"+23502970[20240901-]",20241028,2
"+23502970[20240901-]",20241029,2
"+23502970[20240901-]",20241030,2
"+23502970[20240901-]",20241031,2
"+23502970[20240901-]",20241101,2
"+23502970[20240901-]",20241111,2
"+23502972[20240901-]",20241021,1
"+23502972[20240901-]",20241022,1
"+23502972[20240901-]",20241023,1
"+23502972[20240901-]",20241024,1
"+23502972[20240901-]",20241025,1
"+23502972[20240901-]",20241028,1
"+23502972[20240901-]",20241029,1
"+23502972[20240901-]",20241030,1
"+23502972[20240901-]",20241031,1
"+23502972[20240901-]",20241223,1
"+23502972[20240901-]",20241224,1
"+23502972[20240901-]",20241226,1
"+23502972[20240901-]",20241227,1
"+23502972[20240901-]",20241230,1
"+23502972[20240901-]",20241231,1
"+23502972[20240901-]",20250102,1
"+23502972[20240901-]",20250103,1
