stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_oldid,ext_zenbus_id
place_VIBO,,Abense de bas Bourg,,43.25950000,-0.87995000,,,1,,0,Viodos-Abense-de-Bas,,place_26764,
place_AGUE,,Aguerria,,43.46949313,-1.42574563,,,1,,0,Mouguerre,,place_AGUE,
place_ALAI,,Aire de covoiturage des Aldudes,,43.09832160,-1.42717780,,,1,,0,Aldudes,,place_64016PERK,
place_HAALD,,Aldabidea,Hasparren - Aldabidea,43.39506000,-1.30960000,,,1,,0,Hasparren,,,
place_SOAL1,,Alegera,Souraïde - Alegera,43.33968615,-1.47042314,,,1,,0,Souraïde,,,
place_ITAL,,Altzueta,,43.35019600,-1.41501900,,,1,,0,Itxassou,,place_534500001,
place_SOUAM,,Amespetou,Souraïde - Amespetou,43.33590342,-1.50745958,,,1,,0,Souraïde,,,
place_CAAN,,Annie-Enia,,43.35708000,-1.40388450,,,1,,0,Cambo-les-Bains,,place_766170005-766220009,
place_URAR,,Ardanavy,,43.48474861,-1.32180986,,,1,,0,Urcuit,,place_19173673-19173676,
place_ARCE,,Aroue Centre,,43.31785000,-0.91893350,,,1,,0,Aroue-Ithorots-Olhaïby,,place_17795,
place_MAAR,,Arrabotu handia,,43.22116505,-0.89281540,,,1,,0,Mauléon-Licharre,,place_10154-10155,
place_USAR,,Arrauntz,,43.42038000,-1.48116200,,,1,,0,Ustaritz,,place_17885,
place_CAAR,,Artekoa,,43.36832800,-1.41057900,,,1,,0,Cambo-les-Bains,,place_557600002,
place_SPIN,,Artzirin,Saint-Pée-sur-Nivelle - Artzirin,43.35625300,-1.56118800,,,1,,0,Saint-Pée-sur-Nivelle,,,
place_CAAV,,Avenue d'Espagne,,43.35941050,-1.40367500,,,1,,0,Cambo-les-Bains,,place_789240001-795060010,
place_CAAE,,Avenue de Navarre,Cambo-les-Bains - Avenue de Navarre,43.35904701,-1.39880255,,,1,,0,Cambo-les-Bains,,place_30013,
place_BABA,,Bascule,,43.47871050,-1.18767000,,,1,,0,Bardos,,place_27655,
place_USBA,,Bazter Karrika,,43.39288850,-1.45674750,,,1,,0,Ustaritz,,place_27542,
place_CABE,,Behereko plaza,,43.37034200,-1.39924800,,,1,,0,Cambo-les-Bains,,place_559570001,
place_DOBE,,Berraute,,43.32617900,-0.98817900,,,1,,0,Domezain-Berraute,,place_27710,
place_SPBIL,,Bilanoa,Saint-Pée-sur-Nivelle - Bilanoa,43.35622695,-1.56595519,,,1,,0,Saint-Pée-sur-Nivelle,,,
place_CABO,,Bon Air,,43.35920300,-1.39783250,,,1,,0,Cambo-les-Bains,,place_781240028-791180035,
place_AIBO,,Bourg,,43.19949400,-1.15264100,,,1,,0,Ainhice-Mongelos,,place_17698,
place_ARBO,,Bourg,,43.23322750,-1.09642000,,,1,,0,Larceveau-Arros-Cibits,,place_15820,
place_AYBO,,Bourg,,43.39196920,-1.25474495,,,1,,0,Ayherre,,place_10156-10157,
place_BABO,,Bourg,,43.42776822,-1.25711475,,,1,,0,La Bastide-Clairence,,place_26214,
place_BRBO,,Bourg,,43.46078500,-1.33319650,,,1,,0,Briscous,,place_18080,
place_CHBO,,Bourg,,43.29339050,-0.88192550,,,1,,0,Charritte-de-Bas,,place_16173,
place_GUBO,,Bourg,,43.51236749,-1.20348494,,,1,,0,Guiche,,place_20465240,
place_HEBO,,Bourg,,43.30670330,-1.24396710,,,1,,0,Hélette,,place_10162,
place_IHBO,,Bourg,,43.28160940,-1.18088790,,,1,,0,Iholdy,,place_10165,
place_SABU,,Bourg,,43.15147650,-0.89036850,,,1,,0,Sauguis-Saint-Étienne,,place_15690,
place_SOBO,,Bourg,Souraïde - Bourg,43.34087100,-1.47421100,,,1,,0,Souraïde,,,
place_URBO,,Bourg,,43.48615500,-1.33812300,,,1,,0,Urcuit,,place_15823,
place_LABA,,Bourg/Abbaye,,43.48625650,-1.38733600,,,1,,0,Lahonce,,place_17758,
place_ASBUD,,Burdin Bidea,Ascain - Burdin Bidea,43.34681000,-1.62371000,,,1,,0,Ascain,,,
place_CABI,,Camping Bixta Eder,,43.35563895,-1.41430301,,,1,,0,Cambo-les-Bains,,place_29740,
place_SOAM,,Carrière,Souraïde - Carrière,43.33293840,-1.48960333,,,1,,0,Souraïde,,,
place_IKEA,,Centre Commercial Ametzondo,,43.48081100,-1.44299600,,,1,,0,Saint-Pierre-d'Irube,,place_IKEA,
place_OSCE,,Centre de Loisirs,,43.24300511,-1.28442942,,,1,,0,Ossès,,place_16869450,
place_URCE,,Centre de secours,,43.49138200,-1.29885700,,,1,,0,Urt,,place_15431,
place_MOCE,,Centre Européen Fret,,43.48835600,-1.43274400,,,1,,0,Mouguerre,,place_29735,
