service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
100-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
100-Semaine-1-SEPT-SCS-1101100-,1,1,0,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 jeu, 10 ven)"
100-Semaine-1-SEPT-SCS-1111100-,1,1,1,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 mer, 10 jeu, 10 ven)"
102-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
102-Semaine-1-SEPT-SCS-1101100-,1,1,0,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 jeu, 10 ven)"
102-Semaine-1-SEPT-SCS-1111100-,1,1,1,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 mer, 10 jeu, 10 ven)"
104-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
104-Semaine-1-SEPT-SCS-1101100-,1,1,0,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 jeu, 10 ven)"
104-Semaine-1-SEPT-SCS-1111100-,1,1,1,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 mer, 10 jeu, 10 ven)"
106-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
106-Semaine-1-SEPT-SCS-1101100-,1,1,0,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 jeu, 10 ven)"
106-Semaine-1-SEPT-SCS-1111100-,1,1,1,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 mer, 10 jeu, 10 ven)"
108-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
108-Semaine-1-SEPT-SCS-1101100-,1,1,0,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 jeu, 10 ven)"
108-Semaine-1-SEPT-SCS-1111100-,1,1,1,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 mer, 10 jeu, 10 ven)"
110-Semaine-1-SEPT-SCS-0000100-,0,0,0,0,1,0,0,20241004,20241220,2024-10-04 → 12-20 (10 ven)
110-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
110-Semaine-1-SEPT-SCS-1101000-,1,1,0,1,0,0,0,20241001,20241219,"2024-10-01 → 12-19 (8 lun, 10 mar, 10 jeu)"
110-Semaine-1-SEPT-SCS-1111100-,1,1,1,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 mer, 10 jeu, 10 ven)"
112-Dimanche-1-SEPT-SCS-0000001-,0,0,0,0,0,0,1,20241006,20250105,"2024-10-06 → 2025-01-05 (lun, 9 dim)"
114-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
114-Semaine-1-SEPT-SCS-1101100-,1,1,0,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 jeu, 10 ven)"
114-Semaine-1-SEPT-SCS-1111100-,1,1,1,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 mer, 10 jeu, 10 ven)"
116-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
116-Semaine-1-SEPT-SCS-1101100-,1,1,0,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 jeu, 10 ven)"
116-Semaine-1-SEPT-SCS-1111100-,1,1,1,1,1,0,0,20241001,20241220,"2024-10-01 → 12-20 (8 lun, 10 mar, 10 mer, 10 jeu, 10 ven)"
118-Semaine-1-SEPT-SCS-0010000-,0,0,1,0,0,0,0,20241002,20241218,2024-10-02 → 12-18 (10 mer)
