service_id,date,exception_type
100-Semaine-1-SEPT-SCS-0010000-,20241023,2
100-Semaine-1-SEPT-SCS-0010000-,20241030,2
100-Semaine-1-SEPT-SCS-1101100-,20241021,2
100-Semaine-1-SEPT-SCS-1101100-,20241022,2
100-Semaine-1-SEPT-SCS-1101100-,20241024,2
100-Semaine-1-SEPT-SCS-1101100-,20241025,2
100-Semaine-1-SEPT-SCS-1101100-,20241028,2
100-Semaine-1-SEPT-SCS-1101100-,20241029,2
100-Semaine-1-SEPT-SCS-1101100-,20241031,2
100-Semaine-1-SEPT-SCS-1101100-,20241101,2
100-Semaine-1-SEPT-SCS-1101100-,20241111,2
100-Semaine-1-SEPT-SCS-1111100-,20241021,2
100-Semaine-1-SEPT-SCS-1111100-,20241022,2
100-Semaine-1-SEPT-SCS-1111100-,20241023,2
100-Semaine-1-SEPT-SCS-1111100-,20241024,2
100-Semaine-1-SEPT-SCS-1111100-,20241025,2
100-Semaine-1-SEPT-SCS-1111100-,20241028,2
100-Semaine-1-SEPT-SCS-1111100-,20241029,2
100-Semaine-1-SEPT-SCS-1111100-,20241030,2
100-Semaine-1-SEPT-SCS-1111100-,20241031,2
100-Semaine-1-SEPT-SCS-1111100-,20241101,2
100-Semaine-1-SEPT-SCS-1111100-,20241111,2
102-Semaine-1-SEPT-SCS-0010000-,20241023,2
102-Semaine-1-SEPT-SCS-0010000-,20241030,2
102-Semaine-1-SEPT-SCS-1101100-,20241021,2
102-Semaine-1-SEPT-SCS-1101100-,20241022,2
102-Semaine-1-SEPT-SCS-1101100-,20241024,2
102-Semaine-1-SEPT-SCS-1101100-,20241025,2
102-Semaine-1-SEPT-SCS-1101100-,20241028,2
102-Semaine-1-SEPT-SCS-1101100-,20241029,2
102-Semaine-1-SEPT-SCS-1101100-,20241031,2
102-Semaine-1-SEPT-SCS-1101100-,20241101,2
102-Semaine-1-SEPT-SCS-1101100-,20241111,2
102-Semaine-1-SEPT-SCS-1111100-,20241021,2
102-Semaine-1-SEPT-SCS-1111100-,20241022,2
102-Semaine-1-SEPT-SCS-1111100-,20241023,2
102-Semaine-1-SEPT-SCS-1111100-,20241024,2
102-Semaine-1-SEPT-SCS-1111100-,20241025,2
102-Semaine-1-SEPT-SCS-1111100-,20241028,2
102-Semaine-1-SEPT-SCS-1111100-,20241029,2
102-Semaine-1-SEPT-SCS-1111100-,20241030,2
102-Semaine-1-SEPT-SCS-1111100-,20241031,2
102-Semaine-1-SEPT-SCS-1111100-,20241101,2
102-Semaine-1-SEPT-SCS-1111100-,20241111,2
104-Semaine-1-SEPT-SCS-0010000-,20241023,2
104-Semaine-1-SEPT-SCS-0010000-,20241030,2
104-Semaine-1-SEPT-SCS-1101100-,20241021,2
104-Semaine-1-SEPT-SCS-1101100-,20241022,2
104-Semaine-1-SEPT-SCS-1101100-,20241024,2
104-Semaine-1-SEPT-SCS-1101100-,20241025,2
104-Semaine-1-SEPT-SCS-1101100-,20241028,2
104-Semaine-1-SEPT-SCS-1101100-,20241029,2
104-Semaine-1-SEPT-SCS-1101100-,20241031,2
104-Semaine-1-SEPT-SCS-1101100-,20241101,2
104-Semaine-1-SEPT-SCS-1101100-,20241111,2
104-Semaine-1-SEPT-SCS-1111100-,20241021,2
104-Semaine-1-SEPT-SCS-1111100-,20241022,2
104-Semaine-1-SEPT-SCS-1111100-,20241023,2
104-Semaine-1-SEPT-SCS-1111100-,20241024,2
104-Semaine-1-SEPT-SCS-1111100-,20241025,2
104-Semaine-1-SEPT-SCS-1111100-,20241028,2
104-Semaine-1-SEPT-SCS-1111100-,20241029,2
104-Semaine-1-SEPT-SCS-1111100-,20241030,2
104-Semaine-1-SEPT-SCS-1111100-,20241031,2
104-Semaine-1-SEPT-SCS-1111100-,20241101,2
104-Semaine-1-SEPT-SCS-1111100-,20241111,2
106-Semaine-1-SEPT-SCS-0010000-,20241023,2
106-Semaine-1-SEPT-SCS-0010000-,20241030,2
106-Semaine-1-SEPT-SCS-1101100-,20241021,2
106-Semaine-1-SEPT-SCS-1101100-,20241022,2
106-Semaine-1-SEPT-SCS-1101100-,20241024,2
106-Semaine-1-SEPT-SCS-1101100-,20241025,2
106-Semaine-1-SEPT-SCS-1101100-,20241028,2
106-Semaine-1-SEPT-SCS-1101100-,20241029,2
106-Semaine-1-SEPT-SCS-1101100-,20241031,2
106-Semaine-1-SEPT-SCS-1101100-,20241101,2
106-Semaine-1-SEPT-SCS-1101100-,20241111,2
106-Semaine-1-SEPT-SCS-1111100-,20241021,2
106-Semaine-1-SEPT-SCS-1111100-,20241022,2
106-Semaine-1-SEPT-SCS-1111100-,20241023,2
106-Semaine-1-SEPT-SCS-1111100-,20241024,2
106-Semaine-1-SEPT-SCS-1111100-,20241025,2
106-Semaine-1-SEPT-SCS-1111100-,20241028,2
106-Semaine-1-SEPT-SCS-1111100-,20241029,2
106-Semaine-1-SEPT-SCS-1111100-,20241030,2
106-Semaine-1-SEPT-SCS-1111100-,20241031,2
106-Semaine-1-SEPT-SCS-1111100-,20241101,2
106-Semaine-1-SEPT-SCS-1111100-,20241111,2
108-Semaine-1-SEPT-SCS-0010000-,20241023,2
108-Semaine-1-SEPT-SCS-0010000-,20241030,2
108-Semaine-1-SEPT-SCS-1101100-,20241021,2
108-Semaine-1-SEPT-SCS-1101100-,20241022,2
108-Semaine-1-SEPT-SCS-1101100-,20241024,2
108-Semaine-1-SEPT-SCS-1101100-,20241025,2
108-Semaine-1-SEPT-SCS-1101100-,20241028,2
108-Semaine-1-SEPT-SCS-1101100-,20241029,2
108-Semaine-1-SEPT-SCS-1101100-,20241031,2
108-Semaine-1-SEPT-SCS-1101100-,20241101,2
108-Semaine-1-SEPT-SCS-1101100-,20241111,2
108-Semaine-1-SEPT-SCS-1111100-,20241021,2
108-Semaine-1-SEPT-SCS-1111100-,20241022,2
108-Semaine-1-SEPT-SCS-1111100-,20241023,2
108-Semaine-1-SEPT-SCS-1111100-,20241024,2
