stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
place_NOVE,,11 Novembre,Tarnos - 11 Novembre,43.53882350,-1.45223250,,,1,,2,,Tarnos,,,40312
place_AVRI,,14 Avril,Bayonne - 14 Avril,43.50243750,-1.46232100,,,1,,2,,Bayonne,,,64102
place_JUIN,,18 Juin,Biarritz - 18 Juin,43.48565200,-1.54723100,,,1,,2,,Biarritz,,,64122
place_PETC,,4 Vents,Boucau - 4 Vents,43.53218450,-1.47698950,,,1,,2,,Boucau,,,64140
place_7PUI,,7 Puits,Anglet - 7 Puits,43.47176350,-1.52669600,,,1,,2,,Anglet,,,64024
place_NOST,,A Noste,Boucau - A Noste,43.52799000,-1.47373950,,,1,,2,,Boucau,,,64140
place_CRZA,,A. Croizat,Tarnos - A. Croizat,43.53518650,-1.49045950,,,1,,2,,Tarnos,,,40312
place_ABB,,Abbé Cestac,Anglet - Abbé Cestac,43.50197800,-1.52392400,,,1,,2,,Anglet,,,64024
place_ACAC,,Acacias,Anglet - Acacias,43.49790300,-1.50807500,,,1,,2,,Anglet,,,64024
place_AGUE,,Aguerria,Mouguerre - Aguerria,43.46950400,-1.42573500,,,1,,2,,Mouguerre,,,64407
place_AGUI,,Aguilera,Biarritz - Aguilera,43.48100800,-1.53559550,,,1,,2,,Biarritz,,,64122
place_AGMO,,Aguilera - Mont Orient,Biarritz - Aguilera - Mont Orient,43.48488950,-1.53859850,,,1,,2,,Biarritz,,,64122
place_AILL,,Aillet,Biarritz - Aillet,43.48341050,-1.54656000,,,1,,2,,Biarritz,,,64122
place_AJON,,Ajoncs,Anglet - Ajoncs,43.51108200,-1.51854250,,,1,,2,,Anglet,,,64024
place_ALSC,,Alsace,Biarritz - Alsace,43.48859400,-1.55105400,,,1,,2,,Biarritz,,,64122
place_ALSA,,Alsace Lorraine,Bayonne - Alsace Lorraine,43.49501800,-1.46933650,,,1,,2,,Bayonne,,,64102
place_AMA-AMAD,,Amade,Bayonne - Amade,43.50593200,-1.47566700,,,1,,2,,Bayonne,,,64102
place_AMLU,,Ametz Lura,Saint-Pierre-d'Irube - Ametz Lura,43.46161450,-1.43302200,,,1,,2,,Saint-Pierre-d'Irube,,,64496
place_ADUF,,Amédée Dufourg,Anglet - Amédée Dufourg,43.48221050,-1.51492450,,,1,,2,,Anglet,,,64024
place_ABBA,,Antoine d'Abbadie,Bidart - Antoine d'Abbadie,43.44769625,-1.55660200,,,1,,2,,Bidart,,,64125
place_ARAG,,Aragon,Boucau - Aragon,43.53353200,-1.47765000,,,1,,2,,Boucau,,,64140
place_ARAN,,Arans,Bayonne - Arans,43.48143400,-1.47952200,,,1,,1,,Bayonne,,,64102
place_ABOU,,Arcangues Bourg,Arcangues - Arcangues Bourg,43.43536200,-1.51914300,,,1,,2,,Arcangues,,,64038
place_ARG,,Argote,Bayonne - Argote,43.49522000,-1.46417400,,,1,,2,,Bayonne,,,64102
place_ARKI,,Arguizabal,Villefranque - Arguizabal,43.44222400,-1.45842300,,,1,,2,,Villefranque,,,64558
place_ARIT,,Aritxague,Anglet - Aritxague,43.47385750,-1.49578900,,,1,,2,,Anglet,,,64024
place_ARTO,,Armand Toulet,Anglet - Armand Toulet,43.48704200,-1.50092650,,,1,,2,,Anglet,,,64024
place_AROT,,Arotzaenea,Saint-Pierre-d'Irube - Arotzaenea,43.46633600,-1.44434900,,,1,,2,,Saint-Pierre-d'Irube,,,64496
place_ARRO,,Arrousets,Bayonne - Arrousets,43.49862550,-1.43653550,,,1,,2,,Bayonne,,,64102
place_ARSE,,Arsenal,Bayonne - Arsenal,43.48828300,-1.47243350,,,1,,2,,Bayonne,,,64102
place_ARTG,,Artigasses,Tarnos - Artigasses,43.54596000,-1.46755200,,,1,,2,,Tarnos,,,40312
place_ARTE,,Artémis,Anglet - Artémis,43.47400700,-1.50016400,,,1,,2,,Anglet,,,64024
place_AREN,,Arènes,Bayonne - Arènes,43.49347050,-1.48844500,,,1,,2,,Bayonne,,,64102
place_ARPO,,Arènes-Los Pontòts,Bayonne - Arènes-Los Pontòts,43.49356600,-1.49250350,,,1,,2,,Bayonne,,,64102
place_ATAB,,Atabal,Biarritz - Atabal,43.46026550,-1.53905000,,,1,,2,,Biarritz,,,64122
place_ATHE,,Atherbea,Bidart - Atherbea,43.43754600,-1.58950700,,,1,,2,,Bidart,,,64125
place_ATUR,,Aturri,Saint-Pierre-d'Irube - Aturri,43.47274650,-1.44247250,,,1,,2,,Saint-Pierre-d'Irube,,,64496
place_AVIR,,Aviron Bayonnais,Bayonne - Aviron Bayonnais,43.48716800,-1.47592000,,,1,,2,,Bayonne,,,64102
place_AXRI,,Axeri-Mendi,Bassussarry - Axeri-Mendi,43.44134900,-1.50515050,,,1,,2,,Bassussarry,,,64100
place_AYGA,,Aygas,Tarnos - Aygas,43.53986450,-1.47811750,,,1,,2,,Tarnos,,,40312
place_AYGS,,Aygassot,Boucau - Aygassot,43.53875100,-1.48096950,,,1,,2,,Boucau,,,64140
place_AERO,,Aéroport de Biarritz,Anglet - Aéroport de Biarritz,43.47204000,-1.53240500,,,1,,2,,Anglet,,,64024
place_BAB1,,BAB 3000,Anglet - BAB 3000,43.49366700,-1.51840700,,,1,,2,,Anglet,,,64024
place_BAB,,BAB2,Anglet - BAB2,43.49050400,-1.49860600,,,1,,2,,Anglet,,,64024
place_BAGA,,Bagatelle,Saint-Martin-de-Seignanx - Bagatelle,43.52691350,-1.39348050,,,1,,2,,Saint-Martin-de-Seignanx,,,40273
place_BAHI,,Bahinos,Anglet - Bahinos,43.49425550,-1.51864700,,,1,,2,,Anglet,,,64024
place_BAL,,Bali,Tarnos - Bali,43.53561150,-1.45503750,,,1,,2,,Tarnos,,,40312
place_BALI,,Balishon,Bayonne - Balishon,43.49618100,-1.48564750,,,1,,2,,Bayonne,,,64102
place_BANI,,Banicq,Tarnos - Banicq,43.53098500,-1.44701000,,,1,,2,,Tarnos,,,40312
place_BARJ,,Bar Jean,Boucau - Bar Jean,43.52763600,-1.49222000,,,1,,2,,Boucau,,,64140
place_BARB,,Barbarenia,Biarritz - Barbarenia,43.44990067,-1.55969767,,,1,,2,,Biarritz,,,64122
place_BARC,,Barchalot,Biarritz - Barchalot,43.46287750,-1.56020500,,,1,,2,,Biarritz,,,64122
place_BRRT,,Barrat,Tarnos - Barrat,43.54099650,-1.47573050,,,1,,2,,Tarnos,,,40312
place_BARS,,Barriere SNCF St-Bernard,Bayonne - Barriere SNCF St-Bernard,43.50227600,-1.47939550,,,1,,2,,Bayonne,,,64102
place_BART,,Barthassot,Boucau - Barthassot,43.52684750,-1.49061500,,,1,,2,,Boucau,,,64140
place_BBOU,,Bassussarry Bourg,Bassussarry - Bassussarry Bourg,43.44599350,-1.50952800,,,1,,2,,Bassussarry,,,64100
place_BAST,,Bastié,Anglet - Bastié,43.46363250,-1.50526550,,,1,,2,,Anglet,,,64024
place_BAYA,,Bayonne Adour,Bayonne - Bayonne Adour,43.49614750,-1.43644400,,,1,,2,,Bayonne,,,64102
place_RIVA,,Beaurivage,Biarritz - Beaurivage,43.47144100,-1.56743550,,,1,,2,,Biarritz,,,64122
