service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
N03_DIM-Dimanche-51-GTFS-SUD-0000001-,0,0,0,0,0,0,1,20241006,20241020,2024-09-08 → 10-20 (7 dim)
N03_PSVS-Semaine-51-GTFS-SUD-1111100-,1,1,1,1,1,0,0,20241001,20241018,"2024-09-02 → 10-18 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven)"
N03_SAM-Samedi-51-GTFS-SUD-0000010-,0,0,0,0,0,1,0,20241005,20241019,2024-09-07 → 10-19 (7 sam)
N31_DIM-Dimanche-51-GTFS-SUD-0000001-,0,0,0,0,0,0,1,20241006,20241020,2024-09-01 → 10-20 (8 dim)
N31_PSVS-Lun-Sam-51-GTFS-SUD-1111110-,1,1,1,1,1,1,0,20241001,20241019,"2024-09-02 → 10-19 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven, 7 sam)"
N33_DIM-Dimanche-51-GTFS-SUD-0000001-,0,0,0,0,0,0,1,20241006,20241020,2024-09-01 → 10-20 (8 dim)
N33_PS-Samedi-51-GTFS-SUD-0000010-,0,0,0,0,0,1,0,20241005,20241019,2024-09-07 → 10-19 (7 sam)
N33_PS-Semaine-51-GTFS-SUD-1111100-,1,1,1,1,1,0,0,20241001,20241018,"2024-09-02 → 10-18 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven)"
N35_DIM-Dimanche-51-GTFS-SUD-0000001-,0,0,0,0,0,0,1,20241006,20241020,2024-09-01 → 10-20 (8 dim)
N35_PS-Samedi-51-GTFS-SUD-0000010-,0,0,0,0,0,1,0,20241005,20241019,2024-09-07 → 10-19 (7 sam)
N35_PS-Semaine-51-GTFS-SUD-0010000-,0,0,1,0,0,0,0,20241002,20241016,2024-09-04 → 10-16 (7 mer)
N35_PS-Semaine-51-GTFS-SUD-1101100-,1,1,0,1,1,0,0,20241001,20241018,"2024-09-02 → 10-18 (7 lun, 7 mar, 7 jeu, 7 ven)"
N35_PS-Semaine-51-GTFS-SUD-1111100-,1,1,1,1,1,0,0,20241001,20241018,"2024-09-02 → 10-18 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven)"
N37_PSVS-Semaine-51-GTFS-SUD-0000100-,0,0,0,0,1,0,0,20241004,20241018,2024-09-06 → 10-18 (7 ven)
N37_PSVS-Semaine-51-GTFS-SUD-1111000-,1,1,1,1,0,0,0,20241001,20241017,"2024-09-02 → 10-17 (7 lun, 7 mar, 7 mer, 7 jeu)"
N37_PSVS-Semaine-51-GTFS-SUD-1111100-,1,1,1,1,1,0,0,20241001,20241018,"2024-09-02 → 10-18 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven)"
N39_PSVS-Lun-Sam-51-GTFS-SUD-1111110-,1,1,1,1,1,1,0,20241001,20241019,"2024-09-02 → 10-19 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven, 7 sam)"
N41_DIM-Dimanche-51-GTFS-SUD-0000001-,0,0,0,0,0,0,1,20241006,20241020,2024-09-01 → 10-20 (8 dim)
N41_PS-Samedi-51-GTFS-SUD-0000010-,0,0,0,0,0,1,0,20241005,20241019,2024-09-07 → 10-19 (7 sam)
N41_PS-Semaine-51-GTFS-SUD-1111100-,1,1,1,1,1,0,0,20241001,20241018,"2024-09-02 → 10-18 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven)"
N43_DIM-Dimanche-51-GTFS-SUD-0000001-,0,0,0,0,0,0,1,20241006,20241020,2024-09-01 → 10-20 (8 dim)
N43_PS-Samedi-51-GTFS-SUD-0000010-,0,0,0,0,0,1,0,20241005,20241019,2024-09-07 → 10-19 (7 sam)
N43_PS-Semaine-51-GTFS-SUD-1111100-,1,1,1,1,1,0,0,20241001,20241018,"2024-09-02 → 10-18 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven)"
N51_PSVS-Semaine-51-GTFS-SUD-1111100-,1,1,1,1,1,0,0,20241001,20241018,"2024-09-02 → 10-18 (7 lun, 7 mar, 7 mer, 7 jeu, 7 ven)"
