shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
N30042,43.37291718,-1.77547705,10001,0.000000
N30042,43.37291718,-1.77569902,10002,0.018000
N30042,43.37215424,-1.77575004,10003,0.103000
N30042,43.37117386,-1.77586198,10004,0.212000
N30042,43.37072372,-1.77590001,10005,0.263000
N30042,43.37064362,-1.77590501,10006,0.272000
N30042,43.37065125,-1.77564204,10007,0.293000
N30042,43.37065125,-1.77535701,10008,0.316000
N30042,43.37059784,-1.77489197,10009,0.354000
N30042,43.37046432,-1.77431703,10010,0.403000
N30042,43.37028885,-1.77392697,10011,0.440000
N30042,43.37014771,-1.77366304,10012,0.467000
N30042,43.36980820,-1.77319598,10013,0.521000
N30042,43.36950302,-1.77283895,10014,0.565000
N30042,43.36920166,-1.77244306,10015,0.612000
N30042,43.36894226,-1.77221096,10016,0.646000
N30042,43.36868668,-1.77200198,10017,0.679000
N30042,43.36833954,-1.77183294,10018,0.720000
N30042,43.36807251,-1.77163994,10019,0.754000
N30042,43.36774063,-1.77140999,10020,0.795000
N30042,43.36720276,-1.77105200,10021,0.861000
N30042,43.36606979,-1.77023995,10022,1.004000
N30042,43.36563873,-1.76997101,10023,1.056000
N30042,43.36558151,-1.76993406,10024,1.063000
N30042,43.36533356,-1.76976597,10025,1.094000
N30042,43.36528778,-1.76972997,10026,1.100000
N30042,43.36527252,-1.76976097,10027,1.103000
N30042,43.36519623,-1.76981199,10028,1.112000
N30042,43.36510086,-1.76980305,10029,1.123000
N30042,43.36502838,-1.76977396,10030,1.131000
N30042,43.36486053,-1.76983500,10031,1.151000
N30042,43.36461258,-1.77002299,10032,1.182000
N30042,43.36451721,-1.77011597,10033,1.195000
N30042,43.36440659,-1.77013505,10034,1.208000
N30042,43.36433029,-1.77024305,10035,1.220000
N30042,43.36421204,-1.77042699,10036,1.240000
N30042,43.36417007,-1.77050304,10037,1.248000
N30042,43.36415100,-1.77054000,10038,1.251000
N30042,43.36407852,-1.77065694,10039,1.264000
N30042,43.36394119,-1.77086997,10040,1.287000
N30042,43.36384583,-1.77099800,10041,1.302000
N30042,43.36377716,-1.77108002,10042,1.312000
N30042,43.36361694,-1.77123594,10043,1.334000
N30042,43.36346054,-1.77138102,10044,1.355000
N30042,43.36337280,-1.77145505,10045,1.366000
N30042,43.36331940,-1.77148294,10046,1.372000
N30042,43.36320496,-1.77152002,10047,1.386000
N30042,43.36314392,-1.77152896,10048,1.393000
N30042,43.36297989,-1.77152896,10049,1.411000
N30042,43.36283112,-1.77152801,10050,1.427000
N30042,43.36265182,-1.77155602,10051,1.447000
N30042,43.36250305,-1.77162397,10052,1.465000
N30042,43.36237335,-1.77171099,10053,1.481000
N30042,43.36222076,-1.77182400,10054,1.500000
N30042,43.36215210,-1.77193105,10055,1.512000
N30042,43.36203384,-1.77201104,10056,1.526000
N30042,43.36195374,-1.77206099,10057,1.536000
N30042,43.36194611,-1.77210104,10058,1.540000
N30042,43.36192703,-1.77214301,10059,1.544000
N30042,43.36189651,-1.77216196,10060,1.548000
N30042,43.36183929,-1.77216601,10061,1.554000
N30042,43.36174011,-1.77234805,10062,1.572000
N30042,43.36171341,-1.77242005,10063,1.579000
N30042,43.36168671,-1.77247703,10064,1.584000
N30042,43.36164474,-1.77259195,10065,1.595000
N30042,43.36162949,-1.77264905,10066,1.600000
N30042,43.36161423,-1.77271402,10067,1.605000
N30042,43.36156464,-1.77277899,10068,1.613000
N30042,43.36153030,-1.77292097,10069,1.625000
N30042,43.36149216,-1.77307701,10070,1.638000
N30042,43.36145401,-1.77323699,10071,1.652000
N30042,43.36138153,-1.77354801,10072,1.679000
N30042,43.36134720,-1.77369595,10073,1.691000
N30042,43.36128235,-1.77395403,10074,1.713000
N30042,43.36119080,-1.77425504,10075,1.740000
N30042,43.36115265,-1.77434599,10076,1.748000
N30042,43.36110306,-1.77445996,10077,1.759000
N30042,43.36100006,-1.77467501,10078,1.780000
N30042,43.36091232,-1.77481997,10079,1.795000
N30042,43.36080933,-1.77494502,10080,1.810000
N30042,43.36058426,-1.77516496,10081,1.841000
N30042,43.36043167,-1.77526402,10082,1.860000
N30042,43.36034012,-1.77531099,10083,1.871000
N30042,43.36027527,-1.77533901,10084,1.878000
N30042,43.36020279,-1.77537405,10085,1.887000
N30042,43.36020279,-1.77540398,10086,1.889000
N30042,43.36019135,-1.77543795,10087,1.892000
N30042,43.36017990,-1.77546895,10088,1.895000
N30042,43.36016464,-1.77549303,10089,1.898000
N30042,43.36013794,-1.77551401,10090,1.901000
N30042,43.36011505,-1.77552295,10091,1.904000
N30042,43.36008072,-1.77552295,10092,1.908000
N30042,43.36005020,-1.77551794,10093,1.911000
N30042,43.36002350,-1.77550495,10094,1.914000
N30042,43.36000443,-1.77547300,10095,1.918000
N30042,43.35998535,-1.77542698,10096,1.922000
N30042,43.35991669,-1.77548099,10097,1.931000
N30042,43.35984039,-1.77552497,10098,1.940000
N30042,43.35968018,-1.77559495,10099,1.958000
N30042,43.35960770,-1.77562702,20002,1.967000
N30042,43.35940552,-1.77570605,20003,1.991000
N30042,43.35873413,-1.77599299,20004,2.069000
N30042,43.35863876,-1.77603698,20005,2.080000
N30042,43.35854721,-1.77606797,20006,2.090000
N30042,43.35842133,-1.77610600,20007,2.105000
N30042,43.35832214,-1.77614403,20008,2.116000
N30042,43.35809708,-1.77632904,20009,2.145000
N30042,43.35804367,-1.77636194,20010,2.152000
N30042,43.35796738,-1.77638900,20011,2.161000
N30042,43.35788345,-1.77638900,20012,2.170000
N30042,43.35783768,-1.77638495,20013,2.175000
N30042,43.35757828,-1.77634501,20014,2.204000
N30042,43.35736847,-1.77631903,20015,2.228000
N30042,43.35729599,-1.77631104,20016,2.235000
N30042,43.35725021,-1.77630305,20017,2.241000
N30042,43.35709381,-1.77628398,20018,2.258000
N30042,43.35700607,-1.77627099,20019,2.268000
N30042,43.35692215,-1.77626002,20020,2.277000
N30042,43.35684586,-1.77623999,20021,2.286000
N30042,43.35679626,-1.77643299,20022,2.302000
N30042,43.35670471,-1.77665806,20023,2.323000
N30042,43.35652161,-1.77696598,20024,2.355000
N30042,43.35615158,-1.77736700,20025,2.408000
N30042,43.35570908,-1.77782905,20026,2.470000
N30042,43.35560608,-1.77795804,20027,2.485000
N30042,43.35350800,-1.78061104,20028,2.803000
