trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
N11099,06:01:00,06:01:00,HEOFF3,1,,0,1,0.000000,1
N11099,06:06:00,06:06:00,HECEN1,2,,0,0,1.958000,1
N11099,06:09:00,06:09:00,HEGAR1,3,,0,0,2.855000,1
N11099,06:10:00,06:10:00,HECHE1,4,,0,0,3.685000,1
N11099,06:12:00,06:12:00,HECCI2,5,,0,0,4.210000,1
N11099,06:15:00,06:15:00,URBEH1,6,,0,0,5.065000,1
N11099,06:18:00,06:18:00,URCRO1,7,,0,0,7.659000,1
N11099,06:24:00,06:24:00,URBOU1,8,,0,0,11.418000,1
N11099,06:26:00,06:26:00,URLAR1,9,,0,0,12.999000,1
N11099,06:28:00,06:28:00,URRSO1,10,,0,0,14.088000,1
N11099,06:30:00,06:30:00,CISPE1,11,,0,0,14.997000,1
N11099,06:35:00,06:35:00,SJHAL4,12,,0,0,15.787000,1
N11099,06:38:00,06:38:00,SJJAI1,13,,0,0,17.035999,1
N11099,06:41:00,06:41:00,SJTRI1,14,,0,0,17.745001,1
N11099,06:41:00,06:41:00,SJLIL1,15,,0,0,18.195999,1
N11099,06:43:00,06:43:00,SJETX1,16,,0,0,18.568001,1
N11099,06:46:00,06:46:00,SJCCI1,17,,0,0,20.136999,1
N11099,06:48:00,06:48:00,SJBEL1,18,,0,0,21.294001,1
N11099,06:49:00,06:49:00,SJACO3,19,,0,0,21.820000,1
N11099,06:53:00,06:53:00,GUEEG1,20,,0,0,23.339001,1
N11099,06:54:00,06:54:00,GUEES1,21,,0,0,23.827999,1
N11099,06:55:00,06:55:00,BIDH03,22,,0,0,24.645000,1
N11099,06:56:00,06:56:00,BIDP02,23,,0,0,24.999001,1
N11099,06:57:00,06:57:00,CRRI02,24,,0,0,25.403999,1
N11099,06:58:00,06:58:00,BIMA02,25,,0,0,25.855000,1
N11099,07:00:00,07:00:00,ERRE02,26,,0,0,26.559999,1
N11099,07:00:00,07:00:00,BIDE02,27,,0,0,26.926001,1
N11099,07:01:00,07:01:00,CHAI02,28,,0,0,27.204000,1
N11099,07:02:00,07:02:00,BIDSO1,29,,0,0,27.733999,1
N11099,07:03:00,07:03:00,BIDUT1,30,,0,0,28.049999,1
N11099,07:04:00,07:04:00,BIDBU1,31,,0,0,28.628000,1
N11099,07:04:00,07:04:00,BARB11,32,,0,0,29.021000,1
N11099,07:10:00,07:10:00,BIMOU1,33,,0,0,31.591999,1
N11099,07:10:00,07:10:00,IRAT03,34,,0,0,31.916000,0
N11099,07:12:00,07:12:00,AERO01,35,,0,0,33.229000,1
N11099,07:18:00,07:18:00,BRNM02,36,,0,0,35.786999,1
N11099,07:20:00,07:20:00,UNIO02,37,,0,0,36.339001,1
N11099,07:22:00,07:22:00,VILL02,38,,0,0,37.084999,1
N11099,07:25:00,07:25:00,STLE02,39,,0,0,38.347000,1
N11099,07:29:00,07:29:00,BASQ04,40,,1,0,39.256001,1
N11677,06:06:00,06:06:00,HEOFF3,1,,0,1,0.000000,1
N11677,06:10:00,06:10:00,HECEN1,2,,0,0,1.958000,1
N11677,06:13:00,06:13:00,HEGAR1,3,,0,0,2.855000,1
N11677,06:14:00,06:14:00,HECHE1,4,,0,0,3.685000,1
N11677,06:16:00,06:16:00,HECCI2,5,,0,0,4.210000,1
N11677,06:18:00,06:18:00,URBEH1,6,,0,0,5.065000,1
N11677,06:21:00,06:21:00,URCRO1,7,,0,0,7.659000,1
N11677,06:26:00,06:26:00,URBOU1,8,,0,0,11.418000,1
N11677,06:28:00,06:28:00,URLAR1,9,,0,0,12.999000,1
N11677,06:29:00,06:29:00,URRSO1,10,,0,0,14.088000,1
N11677,06:31:00,06:31:00,CISPE1,11,,0,0,14.997000,1
N11677,06:35:00,06:35:00,SJHAL4,12,,0,0,15.787000,1
N11677,06:38:00,06:38:00,SJJAI1,13,,0,0,17.035999,1
N11677,06:40:00,06:40:00,SJTRI1,14,,0,0,17.745001,1
N11677,06:40:00,06:40:00,SJLIL1,15,,0,0,18.195999,1
N11677,06:42:00,06:42:00,SJETX1,16,,0,0,18.568001,1
N11677,06:45:00,06:45:00,SJCCI1,17,,0,0,20.136999,1
N11677,06:47:00,06:47:00,SJBEL1,18,,0,0,21.294001,1
N11677,06:48:00,06:48:00,SJACO3,19,,0,0,21.820000,1
N11677,06:51:00,06:51:00,GUEEG1,20,,0,0,23.339001,1
N11677,06:52:00,06:52:00,GUEES1,21,,0,0,23.827999,1
N11677,06:53:00,06:53:00,BIDH03,22,,0,0,24.645000,1
N11677,06:54:00,06:54:00,BIDP02,23,,0,0,24.999001,1
N11677,06:55:00,06:55:00,CRRI02,24,,0,0,25.403999,1
N11677,06:56:00,06:56:00,BIMA02,25,,0,0,25.855000,1
N11677,06:58:00,06:58:00,ERRE02,26,,0,0,26.559999,1
N11677,06:58:00,06:58:00,BIDE02,27,,0,0,26.926001,1
N11677,06:59:00,06:59:00,CHAI02,28,,0,0,27.204000,1
N11677,07:00:00,07:00:00,BIDSO1,29,,0,0,27.733999,1
N11677,07:01:00,07:01:00,BIDUT1,30,,0,0,28.049999,1
N11677,07:02:00,07:02:00,BIDBU1,31,,0,0,28.628000,1
N11677,07:02:00,07:02:00,BARB11,32,,0,0,29.021000,1
N11677,07:08:00,07:08:00,BIMOU1,33,,0,0,31.591999,1
N11677,07:08:00,07:08:00,IRAT03,34,,0,0,31.916000,0
N11677,07:10:00,07:10:00,AERO01,35,,0,0,33.229000,1
N11677,07:15:00,07:15:00,BRNM02,36,,0,0,35.786999,1
N11677,07:17:00,07:17:00,UNIO02,37,,0,0,36.339001,1
N11677,07:19:00,07:19:00,VILL02,38,,0,0,37.084999,1
N11677,07:21:00,07:21:00,STLE02,39,,0,0,38.347000,1
N11677,07:25:00,07:25:00,BASQ04,40,,1,0,39.256001,1
N11116,06:15:00,06:15:00,SJHAL4,1,,0,1,0.000000,1
N11116,06:18:00,06:18:00,SJJAI1,2,,0,0,1.249000,1
N11116,06:20:00,06:20:00,SJTRI1,3,,0,0,1.958000,1
N11116,06:20:00,06:20:00,SJLIL1,4,,0,0,2.409000,1
N11116,06:22:00,06:22:00,SJETX1,5,,0,0,2.781000,1
N11116,06:25:00,06:25:00,SJCCI1,6,,0,0,4.351000,1
N11116,06:27:00,06:27:00,SJBEL1,7,,0,0,5.507000,1
N11116,06:28:00,06:28:00,SJACO3,8,,0,0,6.033000,1
N11116,06:31:00,06:31:00,GUEEG1,9,,0,0,7.552000,1
N11116,06:32:00,06:32:00,GUEES1,10,,0,0,8.041000,1
N11116,06:33:00,06:33:00,BIDH03,11,,0,0,8.859000,1
N11116,06:34:00,06:34:00,BIDP02,12,,0,0,9.212000,1
N11116,06:35:00,06:35:00,CRRI02,13,,0,0,9.617000,1
N11116,06:36:00,06:36:00,BIMA02,14,,0,0,10.068000,1
