stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
place_HECHA,,Abadia,Hendaye - Abadia,43.37439950,-1.75201050,,,1,,2,Hendaye,,,64260
place_HEAGE,,Agerrea,Hendaye - Agerrea,43.37222800,-1.74732050,,,1,,2,Hendaye,,,64260
place_BUAGU,,Agerreberri,Biriatou - Agerreberri,43.34262500,-1.73932450,,,1,,2,Biriatou,,,64130
place_AHCRO,,Ahetze Croisement ~ Ahetze Bidegurutzea,Arbonne - Ahetze Croisement ~ Ahetze Bidegurutzea,43.41818600,-1.54872600,,,1,,2,Arbonne,,,64035
place_HEAIZ,,Aizpurdi St Vincent ~ Aizpurdi San Bixente,Hendaye - Aizpurdi St Vincent ~ Aizpurdi San Bixente,43.35651100,-1.77431950,,,1,,2,Hendaye,,,64260
place_SJACO,,Akotz,Saint-Jean-de-Luz - Akotz,43.41279000,-1.61750667,,,1,,2,Saint-Jean-de-Luz,,,64483
place_SJALT,,Alturan,Saint-Jean-de-Luz - Alturan,43.38902800,-1.62039100,,,1,,2,Saint-Jean-de-Luz,,,64483
place_SJALB,,Alturan Bi,Saint-Jean-de-Luz - Alturan Bi,43.38832900,-1.62392850,,,1,,2,Saint-Jean-de-Luz,,,64483
place_SJAND,,Andenea,Saint-Jean-de-Luz - Andenea,43.38996000,-1.64771200,,,1,,2,Saint-Jean-de-Luz,,,64483
place_ARARA,,Arantzola,Arbonne - Arantzola,43.42565900,-1.54876200,,,1,,2,Arbonne,,,64035
place_HEASC,,Ascoubia,Hendaye - Ascoubia,43.37736750,-1.74463350,,,1,,2,Hendaye,,,64260
place_HEASP,,Asporotsttipi,Hendaye - Asporotsttipi,43.37695350,-1.73914850,,,1,,2,Hendaye,,,64260
place_HEATA,,Atabala,Hendaye - Atabala,43.36445200,-1.76496550,,,1,,2,Hendaye,,,64260
place_HEAUT,,Autoport ~ Autoportua,Hendaye - Autoport ~ Autoportua,43.34767500,-1.77035200,,,1,,2,Hendaye,,,64260
place_CIAVB,,Avenue de la Baie ~ Badiako Etorbidea,Ciboure - Avenue de la Baie ~ Badiako Etorbidea,43.38556150,-1.67833100,,,1,,2,Ciboure,,,64189
place_SJAXU,,Axular,Saint-Jean-de-Luz - Axular,43.38608800,-1.65575600,,,1,,2,Saint-Jean-de-Luz,,,64483
place_BUGAR,,Azkenean,Biriatou - Azkenean,43.34262200,-1.74568100,,,1,,2,Biriatou,,,64130
place_AERO,,Aéroport de Biarritz,Anglet - Aéroport de Biarritz,43.47204000,-1.53240500,,,1,,2,Anglet,,,64024
place_SJAIC,,Aïce Errota _ Haize Errota,Saint-Jean-de-Luz - Aïce Errota _ Haize Errota,43.39439300,-1.65274900,,,1,,2,Saint-Jean-de-Luz,,,64483
place_BARB,,Barbarenia,Biarritz - Barbarenia,43.45000450,-1.55990850,,,1,,2,Biarritz,,,64122
place_HEBAR,,Barrendegi,Hendaye - Barrendegi,43.35626500,-1.76929350,,,1,,2,Hendaye,,,64260
place_HEBAS,,Bas Quartier ~ Partxetegia,Hendaye - Bas Quartier ~ Partxetegia,43.35876100,-1.77170500,,,1,,2,Hendaye,,,64260
place_IRBEH,,Behobia,Irun - Behobia,43.34300200,-1.75963500,,,1,,2,Irun,,,
place_HEBEL,,Belcenia ~ Beltzenea,Hendaye - Belcenia ~ Beltzenea,43.36182650,-1.77224000,,,1,,2,Hendaye,,,64260
place_SJBEL,,Belharra,Saint-Jean-de-Luz - Belharra,43.41153400,-1.61512150,,,1,,2,Saint-Jean-de-Luz,,,64483
place_CIBER,,Berastegia,Ciboure - Berastegia,43.37988750,-1.67476400,,,1,,2,Ciboure,,,64189
place_BRNM,,Bernain-Montòri,Anglet - Bernain-Montòri,43.48154100,-1.50995300,,,1,,2,Anglet,,,64024
place_URBER,,Berroeta,Urrugne - Berroeta,43.34814200,-1.68979000,,,1,,2,Urrugne,,,64545
place_CIBIB,,Bibliothèque ~ Liburutegia,Ciboure - Bibliothèque ~ Liburutegia,43.38152150,-1.66473500,,,1,,2,Ciboure,,,64189
place_BIDE,,Bide Artean,Bidart - Bide Artean,43.44564650,-1.58324450,,,1,,2,Bidart,,,64125
place_CIBOR,,Bordagain,Ciboure - Bordagain,43.38295550,-1.67603950,,,1,,2,Ciboure,,,64189
place_URBOU1,,Bourg ~ Herri Barnea,Urrugne - Bourg ~ Herri Barnea,43.36249600,-1.69899900,,,1,,2,Urrugne,,,64545
place_BUBRG,,Bourg ~ Herri Barnea (Biriatou),Biriatou - Bourg ~ Herri Barnea (Biriatou),43.33366000,-1.74390300,,,1,,2,Biriatou,,,64130
place_URBEH,,Béhobie,Urrugne - Béhobie,43.34590300,-1.76347950,,,1,,2,Urrugne,,,64545
place_URBEH1,,Béhobie ~ Pausu,Urrugne - Béhobie ~ Pausu,43.34590300,-1.76347950,,,1,,2,Urrugne,,,64545
place_URCA,,Camieta ~ Kamieta,Urrugne - Camieta ~ Kamieta,43.37451450,-1.67371300,,,1,,2,Urrugne,,,64545
place_SJDUM,,Camping Duna Munguy,Saint-Jean-de-Luz - Camping Duna Munguy,43.41838050,-1.62096000,,,1,,2,Saint-Jean-de-Luz,,,64483
place_CIJUA,,Camping Juantcho,Urrugne - Camping Juantcho,43.39339600,-1.69382300,,,1,,2,Urrugne,,,64545
place_CRRI,,Carricartenea,Bidart - Carricartenea,43.43568900,-1.59345300,,,1,,2,Bidart,,,64125
place_HECAS,,Casa Esperenza,Hendaye - Casa Esperenza,43.35599550,-1.77753050,,,1,,2,Hendaye,,,64260
place_HECCI1,,Centre Commercial,Hendaye - Centre Commercial,43.34949500,-1.77143900,,,1,,2,Hendaye,,,64260
place_SJCCI1,,Centre commercial,Saint-Jean-de-Luz - Centre commercial,43.40523150,-1.62564200,,,1,,2,Saint-Jean-de-Luz,,,64483
place_HECCI,,Centre Commercial ~ Merkataritza Gunea (Hendaye),Hendaye - Centre Commercial ~ Merkataritza Gunea (Hendaye),43.34949500,-1.77143900,,,1,,2,Hendaye,,,64260
place_SJCCI,,Centre Commercial ~ Merkataritza Gunea (Saint-Jean-de-Luz),Saint-Jean-de-Luz - Centre Commercial ~ Merkataritza Gunea (Saint-Jean-de-Luz),43.40523150,-1.62564200,,,1,,2,Saint-Jean-de-Luz,,,64483
