route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11099,Place des Basques,0,N6398,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11677,Place des Basques,0,N6416,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11116,Place des Basques,0,N3038,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11100,Place des Basques,0,N6399,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11117,Place des Basques,0,N3041,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11101,Place des Basques,0,N6400,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11678,Place des Basques,0,N3105,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11102,Place des Basques,0,N3044,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11103,Place des Basques,0,N3040,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11719,Place des Basques,0,N6417,N30042,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12318,Place des Basques,0,N3193,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11104,Place des Basques,0,N6398,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11118,Place des Basques,0,N3038,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11712,Place des Basques,0,N3106,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12326,Place des Basques,0,N3196,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11105,Place des Basques,0,N6399,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11119,Place des Basques,0,N3044,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11721,Place des Basques,0,N6416,N30042,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12322,Place des Basques,0,N3197,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11106,Place des Basques,0,N6400,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11120,Place des Basques,0,N3038,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11679,Place des Basques,0,N3107,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11717,Place des Basques,0,N3105,N30042,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12316,Place des Basques,0,N3193,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11107,Place des Basques,0,N3040,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11121,Place des Basques,0,N3042,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11680,Place des Basques,0,N6417,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11681,Place des Basques,0,N3106,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12314,Place des Basques,0,N3196,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11108,Place des Basques,0,N6398,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11709,Place des Basques,0,N3109,N30042,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12319,Place des Basques,0,N3197,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11122,Place des Basques,0,N3044,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11683,Place des Basques,0,N3107,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11109,Place des Basques,0,N6399,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11713,Place des Basques,0,N3112,N30042,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12329,Place des Basques,0,N3201,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11123,Place des Basques,0,N3039,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11682,Place des Basques,0,N3106,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12312,Place des Basques,0,N3200,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11110,Place des Basques,0,N6400,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11705,Place des Basques,0,N3105,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11124,Place des Basques,0,N3045,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11684,Place des Basques,0,N3107,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12333,Place des Basques,0,N3196,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12315,Place des Basques,0,N3198,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11125,Place des Basques,0,N3043,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11111,Place des Basques,0,N3040,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11711,Place des Basques,0,N3104,N30042,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12320,Place des Basques,0,N3195,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11704,Place des Basques,0,N3106,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12313,Place des Basques,0,N3200,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11112,Place des Basques,0,N3039,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11706,Place des Basques,0,N3109,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11689,Place des Basques,0,N3107,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12317,Place des Basques,0,N3196,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12334,Place des Basques,0,N3201,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11113,Place des Basques,0,N6398,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11690,Place des Basques,0,N3112,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11126,Place des Basques,0,N3045,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11685,Place des Basques,0,N3106,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12335,Place des Basques,0,N3200,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11114,Place des Basques,0,N6399,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11687,Place des Basques,0,N3107,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11722,Place des Basques,0,N3105,N30042,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12321,Place des Basques,0,N3195,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11115,Place des Basques,0,N3040,N30042,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11688,Place des Basques,0,N3106,N30043,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11691,Place des Basques,0,N3104,N30042,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12306,Place des Basques,0,N3201,N30042,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11127,Place des Basques,0,N3046,N30043,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12304,Place des Basques,0,N3200,N30043,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11071,Grande Plage,1,N3040,N30057,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11072,Grande Plage,1,N3038,N30056,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11073,Grande Plage,1,N6398,N30057,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11698,Grande Plage,1,N6416,N30057,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11074,Grande Plage,1,N3041,N30056,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11075,Grande Plage,1,N6399,N30057,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11703,Grande Plage,1,N3105,N30057,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12308,Grande Plage,1,N3196,N30056,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11076,Grande Plage,1,N3044,N30056,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11077,Grande Plage,1,N6400,N30057,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11718,Grande Plage,1,N6417,N30057,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12330,Grande Plage,1,N3193,N30057,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11078,Grande Plage,1,N3038,N30056,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11692,Grande Plage,1,N3107,N30056,2,2
3,N03_PSVS-Semaine-51-GTFS-SUD-1111100-,N11079,Grande Plage,1,N3040,N30057,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11700,Grande Plage,1,N3109,N30057,2,2
3,N03_DIM-Dimanche-51-GTFS-SUD-0000001-,N12305,Grande Plage,1,N3196,N30056,2,2
3,N03_SAM-Samedi-51-GTFS-SUD-0000010-,N11707,Grande Plage,1,N3106,N30056,2,2
